id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,coordinate_type
722911238582004709,480534455,Ratchathewi,13.75442,100.56432,Entire home/apt,1314,7,1,2022-11-04,0.55,14,357,individual
732904847293447604,152018136,Khlong Toei,13.724639758993533,100.56561242675852,Entire home/apt,1200,1,5,2022-12-23,2.88,12,109,individual
722959589172752725,461455435,Bang Rak,13.72609262693111,100.52706185728312,Entire home/apt,3261,30,4,2022-11-27,1.41,3,156,individual
732972401808147848,341188013,Khlong Toei,13.71629,100.58568,Entire home/apt,2099,1,4,2022-12-25,2.35,32,340,individual
723085238674833442,129986395,Vadhana,13.73863,100.56059,Entire home/apt,2150,1,9,2022-12-18,4.91,13,340,individual
732994039766131836,52161947,Khlong Toei,13.7168468,100.5847812,Entire home/apt,2099,1,9,2022-12-08,3.46,99,359,multi_host_building
723090386219099047,129986395,Vadhana,13.73849,100.56037,Entire home/apt,2150,1,9,2022-12-21,3.7,13,329,individual
733090938371240491,6598548,Ratchathewi,13.75438,100.56416,Entire home/apt,1300,28,0,,0.0,16,330,individual
723093141755668530,129986395,Vadhana,13.73966,100.56198,Entire home/apt,2150,1,16,2022-12-28,5.78,13,317,individual
733216479160303917,134974883,Huai Khwang,13.7562269,100.5683134,Entire home/apt,1100,20,2,2022-12-08,1.09,8,306,multi_host_building
723128712260784939,455700678,Bangkok Noi,13.75353,100.46725,Entire home/apt,800,3,4,2022-12-05,1.4,20,90,individual
733251547970654929,126414281,Bangkok Noi,13.74709,100.47052,Private room,621,2,0,,0.0,3,365,individual
723342005707606674,480891129,Khlong Toei,13.7210004,100.5791511,Entire home/apt,1500,28,0,,0.0,1,235,individual
723412133767450215,270215556,Huai Khwang,13.756069936482952,100.56815030839846,Entire home/apt,3857,1,2,2022-11-12,0.71,28,363,individual
723558535997834851,132745392,Vadhana,13.73778,100.55989,Entire home/apt,2414,1,0,,0.0,25,41,individual
723572851364784185,132745392,Huai Khwang,13.75906,100.57005,Entire home/apt,2071,1,1,2022-10-04,0.35,25,71,individual
723602781273346923,443981006,Suanluang,13.70821,100.60513,Entire home/apt,1000,2,5,2022-11-15,2.24,1,333,individual
